id,status,date,time
321,1,2021-07-10,13:07:54
322,0,2021-07-10,13:07:54
323,1,2021-07-10,13:07:54
324,0,2021-07-10,13:07:54
325,1,2021-07-10,13:07:54
326,0,2021-07-10,13:07:54
327,1,2021-07-10,13:07:55
328,0,2021-07-10,13:07:55
329,1,2021-07-10,13:07:55
330,0,2021-07-10,13:07:55
331,1,2021-07-10,13:07:55
332,0,2021-07-10,13:07:56
333,1,2021-07-10,13:07:56
334,0,2021-07-10,13:07:56
335,1,2021-07-10,13:07:56
336,0,2021-07-10,13:07:56
337,1,2021-07-10,13:07:56
338,0,2021-07-10,13:07:56
339,1,2021-07-10,13:07:56
340,0,2021-07-10,13:07:57
341,1,2021-07-10,13:07:57
342,0,2021-07-10,13:07:57
343,1,2021-07-10,13:07:57
344,0,2021-07-10,13:07:57
345,1,2021-07-10,13:07:57
346,0,2021-07-10,13:07:57
347,1,2021-07-10,13:07:57
348,0,2021-07-10,13:07:58
349,1,2021-07-10,13:07:58
350,0,2021-07-10,13:07:58
351,1,2021-07-10,13:07:58
352,0,2021-07-10,13:07:58
353,1,2021-07-10,13:07:59
354,0,2021-07-10,13:07:59
355,1,2021-07-10,13:07:59
356,0,2021-07-10,13:07:59
357,1,2021-07-10,13:07:59
358,0,2021-07-10,13:07:59
359,1,2021-07-10,13:07:59
360,0,2021-07-10,13:08:00
361,1,2021-07-10,13:08:00
362,0,2021-07-10,13:09:19
363,1,2021-07-10,13:09:19
364,0,2021-07-10,13:09:19
365,1,2021-07-10,13:09:19
366,0,2021-07-10,13:09:20
367,1,2021-07-10,13:09:20
368,0,2021-07-10,13:09:20
369,1,2021-07-10,13:09:20
370,0,2021-07-10,13:09:20
371,1,2021-07-10,13:09:20
372,0,2021-07-10,13:09:20
373,1,2021-07-10,13:09:20
374,0,2021-07-10,13:09:21
375,1,2021-07-10,13:09:21
376,0,2021-07-10,13:09:21
377,1,2021-07-10,13:09:21
378,0,2021-07-10,13:09:21
379,1,2021-07-10,13:09:21
380,0,2021-07-10,13:09:21
381,1,2021-07-10,13:09:21
382,0,2021-07-10,13:09:21
383,1,2021-07-10,13:09:21
384,0,2021-07-10,13:09:21
385,1,2021-07-10,13:09:22
386,0,2021-07-10,13:09:22
387,1,2021-07-10,13:09:22
388,0,2021-07-10,13:09:22
389,1,2021-07-10,13:09:22
390,0,2021-07-10,13:09:22
391,1,2021-07-10,13:09:22
392,0,2021-07-10,13:09:22
393,1,2021-07-10,13:09:22
394,1,2021-07-10,13:09:22
395,1,2021-07-10,13:11:31
396,1,2021-07-10,13:11:57
397,0,2021-07-10,13:12:06
398,1,2021-07-10,13:12:09
399,0,2021-07-10,13:12:12
400,1,2021-07-10,13:12:17
401,0,2021-07-10,13:12:19
402,1,2021-07-10,13:12:22
403,0,2021-07-10,13:12:25
404,1,2021-07-10,13:12:28
405,0,2021-07-10,13:12:31
406,1,2021-07-10,13:12:35
407,0,2021-07-10,13:12:37
408,1,2021-07-10,13:12:41
409,0,2021-07-10,13:12:59
410,1,2021-07-10,13:13:02
411,0,2021-07-10,13:13:05
412,1,2021-07-10,13:14:08
413,0,2021-07-10,13:14:12
414,1,2021-07-10,13:14:34
415,0,2021-07-10,13:14:38
416,1,2021-07-10,13:15:44
417,0,2021-07-10,13:16:10
418,1,2021-07-15,14:10:17
419,0,2021-07-15,14:10:22
420,1,2021-07-15,14:10:25
421,0,2021-07-15,14:10:28
422,1,2021-07-15,14:10:42
423,0,2021-07-15,14:10:52
424,1,2021-07-15,14:10:54
425,1,2021-07-21,20:08:58
426,0,2021-07-21,20:09:12
427,1,2021-07-21,20:09:16
428,0,2021-07-21,20:09:21
429,1,2021-07-21,20:09:23
430,0,2021-07-21,20:09:37
431,1,2021-07-21,21:08:09
432,0,2021-07-21,21:08:13
433,1,2021-07-21,21:08:16
434,0,2021-07-21,21:08:26
435,1,2021-07-21,21:08:36
436,0,2021-07-21,21:08:44
437,1,2021-07-21,21:08:47
438,0,2021-07-21,21:08:51
439,1,2021-07-21,21:08:55
440,0,2021-07-21,21:08:59
441,1,2021-07-21,22:52:07
442,1,2021-07-21,22:46:25
443,0,2021-07-21,22:46:27
444,1,2021-07-21,22:48:01
445,0,2021-07-21,22:48:20
446,1,2021-07-21,22:48:24
447,0,2021-07-21,22:48:28
448,1,2021-07-21,22:48:54
449,0,2021-07-21,22:49:07
450,1,2021-07-21,22:49:11
451,0,2021-07-21,22:49:19
452,1,2021-07-21,22:49:22
453,0,2021-07-21,22:49:56
454,1,2021-07-21,22:53:48
455,0,2021-07-21,22:54:01
456,1,2021-07-21,22:54:10
457,0,2021-07-21,22:54:15
458,1,2021-07-21,22:54:23
459,0,2021-07-21,22:54:27
460,1,2021-07-21,22:54:32
461,0,2021-07-21,22:54:37
462,1,2021-07-21,22:54:40
463,0,2021-07-21,22:55:24
464,1,2021-07-21,22:55:35
465,0,2021-07-21,22:55:39
466,1,2021-07-21,22:55:42
467,0,2021-07-21,22:55:49
468,1,2021-07-21,22:56:27
469,0,2021-07-21,22:56:34
470,1,2021-07-21,22:57:11
471,0,2021-07-21,22:57:25
472,1,2021-07-21,22:57:36
473,0,2021-07-21,22:57:39
474,1,2021-07-21,22:57:43
475,0,2021-07-21,22:57:52
476,1,2021-07-21,23:01:15
477,0,2021-07-21,23:01:44
478,1,2021-07-21,23:01:46
479,0,2021-07-21,23:02:04
480,1,2021-07-21,23:02:11
481,0,2021-07-21,23:02:15
482,1,2021-07-21,23:02:18
483,0,2021-07-21,23:02:22
484,1,2021-07-21,23:02:27
485,0,2021-07-21,23:02:31
486,1,2021-07-21,23:02:34
487,0,2021-07-21,23:02:44
488,1,2021-07-21,23:02:49
489,0,2021-07-21,23:02:55
490,1,2021-07-21,23:02:58
491,0,2021-07-21,23:03:39
492,1,2021-07-21,23:03:42
493,0,2021-07-21,23:03:47
494,1,2021-07-21,23:03:51
495,0,2021-07-21,23:04:01
496,1,2021-07-21,23:04:08
497,0,2021-07-21,23:04:17
498,1,2021-07-21,23:04:20
499,0,2021-07-21,23:04:24
500,1,2021-07-21,23:04:32
501,0,2021-07-21,23:04:39
502,1,2021-07-21,23:05:11
503,0,2021-07-21,23:05:22
504,1,2021-07-21,23:05:43
505,0,2021-07-21,23:05:56
506,1,2021-07-21,23:05:58
507,0,2021-07-21,23:06:27
508,1,2021-07-21,23:06:31
509,0,2021-07-21,23:06:41
510,1,2021-07-21,23:06:46
511,0,2021-07-21,23:06:49
512,1,2021-07-21,23:06:52
513,0,2021-07-21,23:06:56
514,1,2021-07-21,23:06:59
515,0,2021-07-21,23:07:06
516,1,2021-07-21,23:07:11
517,0,2021-07-21,23:07:13
518,1,2021-07-21,23:07:16
519,0,2021-07-21,23:07:20
520,1,2021-07-21,23:07:45
521,0,2021-07-21,23:07:57
522,1,2021-07-21,23:08:57
523,0,2021-07-21,23:09:14
524,1,2021-07-21,23:09:17
525,0,2021-07-21,23:09:23
526,1,2021-07-21,23:09:26
527,0,2021-07-21,23:09:33
528,1,2021-07-21,23:09:59
529,0,2021-07-21,23:10:06
530,1,2021-07-21,23:10:18
531,0,2021-07-21,23:10:28
532,1,2021-07-21,23:10:30
533,0,2021-07-21,23:10:38
534,1,2021-07-21,23:10:40
535,0,2021-07-21,23:10:54
536,1,2021-07-21,23:10:58
537,0,2021-07-21,23:11:11
538,1,2021-07-21,23:11:15
539,0,2021-07-21,23:11:31
540,1,2021-07-21,23:11:51
541,0,2021-07-21,23:11:55
542,1,2021-07-21,23:12:02
543,0,2021-07-21,23:12:06
544,1,2021-07-21,23:12:11
545,0,2021-07-21,23:12:20
546,1,2021-07-21,23:12:39
547,0,2021-07-21,23:12:52
548,1,2021-07-21,23:13:35
549,0,2021-07-21,23:13:41
550,1,2021-07-21,23:14:41
551,0,2021-07-21,23:14:45
552,1,2021-07-21,23:14:47
553,0,2021-07-21,23:14:52
554,1,2021-07-21,23:14:56
555,0,2021-07-21,23:15:01
556,1,2021-07-21,23:15:05
557,0,2021-07-21,23:15:23
558,1,2021-07-21,23:15:26
559,0,2021-07-21,23:15:33
560,1,2021-07-21,23:17:06
561,0,2021-07-21,23:17:29
562,1,2021-07-21,23:17:32
563,0,2021-07-21,23:17:37
564,1,2021-07-22,09:34:27
565,0,2021-07-22,09:34:31
566,1,2021-07-22,09:35:18
567,0,2021-07-22,09:35:21
568,1,2021-07-22,09:45:34
569,0,2021-07-22,09:45:40
570,1,2021-07-22,09:56:53
571,0,2021-07-22,09:57:03
572,1,2021-07-22,09:57:17
573,0,2021-07-22,09:57:28
574,1,2021-07-22,10:44:06
575,0,2021-07-22,10:44:14
576,1,2021-07-22,11:12:47
577,0,2021-07-22,11:13:04
578,1,2021-07-22,11:14:50
579,1,2021-07-22,09:49:49
580,0,2021-07-22,09:49:58
581,1,2021-07-22,09:50:02
582,0,2021-07-22,09:50:14
583,1,2021-07-22,09:50:21
584,0,2021-07-22,09:50:30
585,1,2021-07-22,09:50:34
586,0,2021-07-22,09:50:38
587,1,2021-07-22,09:50:41
588,0,2021-07-22,09:50:52
589,1,2021-07-22,09:50:57
